id,business_name,category,industry,phone_numbers,emails,website,address,city,state,country,pincode,platform_source,lead_type,rating,reviews_count,notes,scraped_at
1,ABC Technologies Pvt Ltd,IT Services,Technology,9876543210; 9123456789,info@abctech.com; sales@abctech.com,https://abctech.com,123 Tech Park Whitefield,Bangalore,Karnataka,India,560066,google_maps,B2B,4.5,128,Leading IT solutions provider,2026-01-21T01:00:00
2,Mumbai Fresh Foods,Restaurant,Food & Beverage,9988776655,contact@mumbaifreshfoods.in,https://mumbaifreshfoods.in,45 Marine Drive,Mumbai,Maharashtra,India,400001,google_maps,B2C,4.2,345,Popular seafood restaurant,2026-01-21T01:00:00
3,Delhi Motors,Automobile Dealer,Automotive,011-25789456; 9011223344,sales@delhimotors.com,https://delhimotors.com,Connaught Place,Delhi,Delhi,India,110001,justdial,B2B,4.0,89,Authorized car dealership,2026-01-21T01:00:00
4,Sunrise Textile Mills,Textile Manufacturing,Manufacturing,9876501234,enquiry@sunrisetextiles.co.in,https://sunrisetextiles.co.in,MIDC Industrial Area,Pune,Maharashtra,India,411018,indiamart,B2B,4.3,56,Textile manufacturer and exporter,2026-01-21T01:00:00
5,Chennai Fitness Studio,Gym & Fitness,Health & Wellness,044-24567890,hello@chennaifitness.com,https://chennaifitness.com,Anna Nagar,Chennai,Tamil Nadu,India,600040,sulekha,B2C,4.7,234,Premium fitness center,2026-01-21T01:00:00
6,Hyderabad Events Co,Event Management,Events & Entertainment,9505050505; 9606060606,events@hyclubevents.com,https://hyderabadevents.co,Banjara Hills,Hyderabad,Telangana,India,500034,google_search,B2B,4.1,78,Corporate event specialists,2026-01-21T01:00:00
7,Kolkata Books Emporium,Bookstore,Retail,033-22334455,books@kolkataemporium.com,https://kolkatabooks.in,College Street,Kolkata,West Bengal,India,700073,yellow_pages,B2C,4.4,156,Largest bookstore chain,2026-01-21T01:00:00
8,Jaipur Handicrafts,Handicrafts,Art & Crafts,9414123456,sales@jaipurhandicrafts.com,https://jaipurhandicrafts.com,Pink City Market,Jaipur,Rajasthan,India,302001,indiamart,B2B,4.6,92,Traditional Rajasthani crafts,2026-01-21T01:00:00
9,Kerala Ayurveda Center,Healthcare,Healthcare,0484-2567890,care@keralaayurveda.org,https://keralaayurveda.org,MG Road,Kochi,Kerala,India,682016,google_maps,B2C,4.8,412,Authentic Ayurvedic treatments,2026-01-21T01:00:00
10,Ahmedabad Steel Works,Steel Manufacturing,Manufacturing,079-27891234; 9898989898,info@amdsteelworks.com,https://ahmedabadsteel.com,Naroda GIDC,Ahmedabad,Gujarat,India,382330,indiamart,B2B,4.2,67,Industrial steel supplier,2026-01-21T01:00:00
